LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Application,2023-09-22,00:10:15,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16384,4,3267,Successfully scheduled Software Protection service for re-start at 2023-09-22T21:08:15Z. Reason: RulesEngine.
System,2023-09-22,00:10:01,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2279,The access history in hive \??\C:\Users\Communication_LTD\AppData\Local\Packages\Microsoft.ZuneMusic_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Application,2023-09-22,00:09:45,CLIENT-PC,SecurityCenter,None,4,Classic,Info,15,4,3266,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
System,2023-09-22,00:09:23,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2278,The access history in hive \??\C:\Users\Communication_LTD\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,None,2,Classic,None,8198,2,3265,"License Activation (slui.exe) failed with the following error code:"
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,1003,4,3264,"The Software Protection service has completed licensing status check."
Application,2023-09-22,00:09:20,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,1003,4,3263,"The Software Protection service has completed licensing status check."
Application,2023-09-22,00:09:19,CLIENT-PC,Microsoft-Windows-Security-SPP,None,2,Classic,None,1014,2,3262,"Acquisition of End User License failed. hr=0xC004C008"
Application,2023-09-22,00:09:19,CLIENT-PC,Microsoft-Windows-Security-SPP,None,2,Classic,None,8200,2,3261,"License acquisition failure details. "
Application,2023-09-22,00:09:13,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16394,4,3260,Offline downlevel migration succeeded.
Application,2023-09-22,00:09:07,CLIENT-PC,Microsoft-Windows-Winlogon,None,4,Classic,None,6000,4,3259,The winlogon notification subscriber <SessionEnv> was unavailable to handle a notification event.
System,2023-09-22,00:09:06,CLIENT-PC,Microsoft-Windows-Winlogon,1101,4,None,Info,7001,4,2277,User Logon Notification for Customer Experience Improvement Program
Application,2023-09-22,00:09:06,CLIENT-PC,Microsoft-Windows-Winlogon,None,4,Classic,None,6003,4,3258,The winlogon notification subscriber <SessionEnv> was unavailable to handle a critical notification event.
System,2023-09-22,00:08:13,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2276,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Photos_2023.11090.12017.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
System,2023-09-22,00:08:08,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2275,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_16005.14326.21580.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Application,2023-09-22,00:08:07,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16384,4,3257,Successfully scheduled Software Protection service for re-start at 2023-09-22T20:16:07Z. Reason: RulesEngine.
System,2023-09-22,00:08:02,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2274,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneMusic_11.2308.3.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
System,2023-09-22,00:07:59,CLIENT-PC,Microsoft-Windows-WindowsUpdateClient,Windows Update Agent,4,"Download, Started",Download,44,4,2273,Windows Update started downloading an update.
System,2023-09-22,00:07:56,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2272,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Services.Store.Engagement_10.0.23012.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
System,2023-09-22,00:07:54,CLIENT-PC,Microsoft-Windows-Kernel-General,None,4,None,Info,16,4,2271,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Services.Store.Engagement_10.0.23012.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
System,2023-09-22,00:07:52,CLIENT-PC,Microsoft-Windows-WindowsUpdateClient,Windows Update Agent,4,"Download, Started",Download,44,4,2270,Windows Update started downloading an update.
System,2023-09-22,00:07:52,CLIENT-PC,Microsoft-Windows-WindowsUpdateClient,Windows Update Agent,4,"Download, Started",Download,44,4,2269,Windows Update started downloading an update.
System,2023-09-22,00:07:52,CLIENT-PC,Microsoft-Windows-WindowsUpdateClient,Windows Update Agent,4,"Download, Started",Download,44,4,2268,Windows Update started downloading an update.
System,2023-09-22,00:07:36,CLIENT-PC,Microsoft-Windows-Service Control Manager,None,4,Classic,The operation completed successfully.,7040,4,2267,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Application,2023-09-22,00:07:30,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16394,4,3256,Offline downlevel migration succeeded.
Application,2023-09-22,00:06:13,CLIENT-PC,gupdate,None,4,Classic,Info,0,4,3255,The operation completed successfully.
Application,2023-09-22,00:05:58,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16384,4,3254,Successfully scheduled Software Protection service for re-start at 2023-09-22T20:16:58Z. Reason: RulesEngine.
Application,2023-09-22,00:05:34,CLIENT-PC,Microsoft-Windows-Search,Search service,4,Classic,NOTE:  This dummy error message is necessary to force MC to output        the above defines inside the FACILITY_WINDOWS guard instead        of leaving it empty.,1003,4,3253,The Windows Search Service started.
Application,2023-09-22,00:05:34,CLIENT-PC,SecurityCenter,None,4,Classic,Info,15,4,3252,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
Application,2023-09-22,00:05:32,CLIENT-PC,ESENT,General,4,Classic,Info,326,4,3251,"SearchIndexer (2244,D,50) Windows: The database engine attached a database (1, C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb). (Time=0 seconds) "
Application,2023-09-22,00:05:32,CLIENT-PC,ESENT,General,4,Classic,Info,105,4,3250,"SearchIndexer (2244,D,0) Windows: The database engine started a new instance (0). (Time=0 seconds) "
Application,2023-09-22,00:05:32,CLIENT-PC,ESENT,General,4,Classic,Info,102,4,3249,"SearchIndexer (2244,P,98) Windows: The database engine (10.00.19045.0000) is starting a new instance (0)."
Application,2023-09-22,00:05:32,CLIENT-PC,SecurityCenter,None,4,Classic,Info,1,4,3248,The Windows Security Center Service has started.
System,2023-09-22,00:05:31,CLIENT-PC,Microsoft-Windows-DistributedCOM,None,3,Classic,Info,10016,3,2266,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID "
Application,2023-09-22,00:05:31,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16394,4,3247,Offline downlevel migration succeeded.
Application,2023-09-22,00:05:31,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,900,4,3246,"The Software Protection service is starting."
Application,2023-09-22,00:05:30,CLIENT-PC,gupdate,None,4,Classic,Info,0,4,3245,The operation completed successfully.
Application,2023-09-22,00:05:29,CLIENT-PC,edgeupdate,None,4,Classic,Info,0,4,3244,Service stopped.
Application,2023-09-22,00:05:24,CLIENT-PC,Microsoft-Windows-Security-SPP,None,0,Classic,None,903,0,3243,The Software Protection service has stopped.
Application,2023-09-22,00:05:24,CLIENT-PC,Microsoft-Windows-Security-SPP,None,4,Classic,None,16384,4,3242,Successfully scheduled Software Protection service for re-start at 2023-09-22T20:16:24Z. Reason: RulesEngine.
System,2023-09-22,00:05:23,CLIENT-PC,Microsoft-Windows-WindowsUpdateClient,Windows Update Agent,4,"Installation, Success",Installation,19,4,2265,Installation Successful: Windows successfully installed the following update: 2023-09 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5030211)
